id,s,h,timing,n
0.021959423953667283,0.021959423953667283,0.21359836612828076,E,1
0.02205716138705611,0.02205716138705611,0.8034407068043947,E,2
0.02243519145064056,0.02243519145064056,0.49008170585148036,E,2
0.022521855826489627,0.022521855826489627,0.7261955805588514,E,1
0.023212075424380602,0.023212075424380602,0.8109932942315936,L,3
0.02388407281599939,0.02388407281599939,0.7462909363675863,L,2
0.0240001221280545,0.0240001221280545,0.2798261686693877,E,70
0.0243348495522514,0.0243348495522514,0.978016791632399,E,2
0.02478460726328194,0.02478460726328194,0.23660388076677918,L,6
0.024802416246384382,0.024802416246384382,0.33636437891982496,L,1
0.024862795430235566,0.024862795430235566,0.4347620760090649,E,1
0.024930456331931056,0.024930456331931056,0.8007230169605464,L,17
0.02604772074148059,0.02604772074148059,0.2799906216096133,L,55
0.026398744583129883,0.026398744583129883,0.8082203951198608,L,3
0.027069306988269093,0.027069306988269093,0.6285153827629983,L,5
0.028575636870227752,0.028575636870227752,0.5852351752109826,E,1
0.029702991135418418,0.029702991135418418,0.970435613533482,E,3
0.030037127817049623,0.030037127817049623,0.6291716638952494,E,12
0.030051181055605412,0.030051181055605412,0.37618385115638375,L,18
0.03078820325434208,0.03078820325434208,0.23074960592202842,E,83
0.031331359669566156,0.031331359669566156,0.43977637169882655,L,1
0.03196737812366336,0.03196737812366336,0.7410806331317872,L,2
0.03205517241731286,0.03205517241731286,0.26498862635344267,E,19
0.03236265198327601,0.03236265198327601,0.6143267906736583,L,17
0.03247434956021607,0.03247434956021607,0.19284877344034612,L,11
0.03274210014846176,0.03274210014846176,0.5411901625338942,L,1
0.03403092929627746,0.03403092929627746,0.1751110248733312,L,3
0.03472699037753046,0.03472699037753046,0.39893420366570354,E,2
0.034960983986966315,0.034960983986966315,0.6882370924577117,L,7
0.03506338757928461,0.03506338757928461,0.5813405066728592,L,53
0.0351451062830165,0.0351451062830165,0.6545515537727624,E,21
0.0352308946987614,0.0352308946987614,0.08912061690352857,L,5
0.03590503418818116,0.03590503418818116,0.7006303598172963,E,1
0.03599310365971178,0.03599310365971178,0.6199776707217097,L,55
0.03605736454017461,0.03605736454017461,0.5570981542114168,E,49
0.03619249444920569,0.03619249444920569,0.8838000863324851,E,27
0.036609608898870646,0.036609608898870646,0.22874163230881095,L,1
0.0370735852746293,0.0370735852746293,0.5841149089392275,E,13
0.03722646415699273,0.03722646415699273,0.25248992210254073,E,8
0.038794610491022466,0.038794610491022466,0.5181609860155731,L,7
0.03900380820035934,0.03900380820035934,0.6609402729663998,E,1
0.03926924738567322,0.03926924738567322,0.26926319231279194,L,11
0.03931328360456973,0.03931328360456973,0.6760829789564013,E,2
0.03943945517297834,0.03943945517297834,0.1997531617525965,L,4
0.04056733834557236,0.04056733834557236,0.17240073322318494,E,47
0.04322112051770091,0.04322112051770091,0.27639008359983563,E,6
0.04363386634737253,0.04363386634737253,0.665043868124485,L,1
0.04371355886571109,0.04371355886571109,0.025081536499783397,L,8
0.04381883106194437,0.04381883106194437,0.19413153128698468,L,2
0.04439767868723721,0.04439767868723721,0.7836660558823496,E,4
