ind,id,s,h,timing
6,0.06493751590140164,0.06493751590140164,0.03774683969095349,E
6,0.42033853909000757,0.42033853909000757,0.17108498699963093,E
12,0.026253086952492594,0.026253086952492594,0.834747698623687,L
12,0.5307430547103286,0.5307430547103286,0.0480322081129998,E
16,0.08828973494935781,0.08828973494935781,0.370894318446517,L
16,0.06493751590140164,0.06493751590140164,0.03774683969095349,E
16,0.2577068460732698,0.2577068460732698,0.028302159858867526,E
26,0.5286619485123083,0.5286619485123083,0.023587590316310525,L
29,0.1877851926581934,0.1877851926581934,0.7342175394296646,E
29,0.12294756856281311,0.12294756856281311,0.0504681000020355,E
30,0.410047335838899,0.410047335838899,0.7544068277347833,L
31,0.0750202561635524,0.0750202561635524,0.2892214476596564,E
32,0.15627074564341453,0.15627074564341453,0.806371447397396,E
34,0.07249607843812556,0.07249607843812556,0.6739054704084992,E
35,0.09588983634021134,0.09588983634021134,0.7402608781121671,E
35,0.13295751720201224,0.13295751720201224,0.15926639968529344,E
35,0.4403785355342552,0.4403785355342552,0.09871702617965639,L
35,0.7646888169646263,0.7646888169646263,0.8159543771762401,E
36,0.5108329960750416,0.5108329960750416,0.6243019718676805,L
37,0.101518708281219,0.101518708281219,0.20184614532627165,E
37,0.4434792850771919,0.4434792850771919,0.4233235807623714,E
44,0.04602052495349199,0.04602052495349199,0.09550312138162553,E
47,0.6574217953486368,0.6574217953486368,0.41149472747929394,L
47,0.622461112276651,0.622461112276651,0.36785641591995955,L
48,0.12340403550304473,0.12340403550304473,0.49145554448477924,E
48,0.19309528973419218,0.19309528973419218,0.4960357388481498,L
48,0.16471506995614618,0.16471506995614618,0.4324966936837882,E
48,0.12283713347278535,0.12283713347278535,0.5968343170825392,E
52,0.5108329960750416,0.5108329960750416,0.6243019718676805,L
54,0.08336928724311292,0.08336928724311292,0.8064183960668743,L
54,0.7591535541042685,0.7591535541042685,0.019747819751501083,L
55,0.22913650667294858,0.22913650667294858,0.2678869045339525,E
58,0.23106995415408163,0.23106995415408163,0.16019913437776268,L
58,0.11449238111265003,0.11449238111265003,0.13788167852908373,L
63,0.07727340170182288,0.07727340170182288,0.24109262065030634,L
63,0.6243712554313242,0.6243712554313242,0.8994427125435323,E
64,0.22955742934718726,0.22955742934718726,0.021973296534270048,L
64,0.036553471926599745,0.036553471926599745,0.39760877238586545,L
64,0.6923476782301441,0.6923476782301441,0.5391419981606305,L
64,0.2630050981789827,0.2630050981789827,0.014400614658370614,E
68,0.05247457002289593,0.05247457002289593,0.7701088208705187,L
68,0.3148756660334766,0.3148756660334766,0.8150802089367062,E
70,0.33274104942101984,0.33274104942101984,0.08076483267359436,L
70,0.9421464103786275,0.9421464103786275,0.2580826645717025,L
71,0.2577068460732698,0.2577068460732698,0.028302159858867526,E
71,0.4542035710811615,0.4542035710811615,0.89246368408203125,E
72,0.2577068460732698,0.2577068460732698,0.028302159858867526,E
72,0.10512124423403293,0.10512124423403293,0.4282586332410574,L
74,0.03415895318146795,0.03415895318146795,0.6721289118286222,L
74,0.13218254395760595,0.13218254395760595,0.16510000126436353,E
74,0.1053158807894215,0.1053158807894215,0.13714339514262974,E
75,0.3072487058211118,0.3072487058211118,0.4988505847286433,L
75,0.40479371982160955,0.40479371982160955,0.027555858250707388,E
