id,s,h,timing,n
0.020038594040088356,0.020038594040088356,0.01638386258855462,E,11
0.020481783533468842,0.020481783533468842,0.8960520771797746,E,8
0.020935328933410345,0.020935328933410345,0.3427362034562975,L,21
0.02190401850733906,0.02190401850733906,0.48262821789830923,L,2
0.02205371732823551,0.02205371732823551,0.11424062238074839,E,25
0.02329408162739128,0.02329408162739128,0.018555602757260203,L,3
0.023973421202972533,0.023973421202972533,0.4442893958184868,E,4
0.025387314818799495,0.025387314818799495,0.04279735148884356,L,5
0.026253086952492594,0.026253086952492594,0.834747698623687,L,16
0.02724124501924962,0.02724124501924962,0.8967906695324928,L,20
0.028199013043195012,0.028199013043195012,0.5686453154776245,E,1
0.02864433413837105,0.02864433413837105,0.7506630320567638,E,3
0.030062978793866935,0.030062978793866935,0.29167793900705874,L,2
0.030824491139501333,0.030824491139501333,0.4419613073114306,E,4
0.031329643800854685,0.031329643800854685,0.11480576219037175,L,2
0.03197446703445166,0.03197446703445166,0.865959323477,L,2
0.03415895318146795,0.03415895318146795,0.6721289118286222,L,5
0.034311804226599636,0.034311804226599636,0.5162446857430041,E,5
0.03460900181438774,0.03460900181438774,0.8064329368062317,L,4
0.035013662753626704,0.035013662753626704,0.4949725712649524,L,9
0.035429182266816496,0.035429182266816496,0.6563305554445833,E,9
0.03580420956015587,0.03580420956015587,0.77795449947007,L,7
0.036367427948862316,0.036367427948862316,0.39010511664673686,E,16
0.036553471926599745,0.036553471926599745,0.39760877238586545,L,30
0.03670898097101599,0.03670898097101599,0.00688253971748054,L,18
0.03695792842190713,0.03695792842190713,0.8671702505089343,L,12
0.036963929170742635,0.036963929170742635,0.9967742341104895,L,11
0.03810590482782572,0.03810590482782572,0.8611522195860744,E,1
0.03819144362118095,0.03819144362118095,0.0359062235802412,E,1
0.039090509768575435,0.039090509768575435,0.35714103234931827,E,3
0.040096866083331406,0.040096866083331406,0.8914767724927515,L,1
0.04039755473379046,0.04039755473379046,0.3380510164424777,E,2
0.04126165047287941,0.04126165047287941,0.8387625385075808,L,20
